query_id,database,label,row_latency,col_latency,speedup_ratio,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31
q_0013,Airline,0,348.4009958803654,1622.7600820362568,0.21469655295143078,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,0,0,0,0,0,1,1,0,1,11,0,1,0,0,0
q_0043,Airline,0,384.04161110520363,3812.474325299263,0.10073290423406536,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,0,0,0,0,0,1,1,0,1,11,0,1,0,0,0
q_0015,Airline,0,13.216786086559296,61.641326546669006,0.2144143682007361,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
q_0050,Airline,0,17.11360663175583,83.90338197350502,0.2039680192767433,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,1,0,0,0,0,1,1,0,1,4,0,1,0,0,0
q_0057,Airline,0,1317.774359881878,1778.4081064164639,0.740985353770809,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,0,0,0,0,0,1,1,0,1,7,0,1,0,0,0
q_0020,Airline,0,506.76007494330406,1524.3081085383892,0.3324525219702598,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,1,0,0,0,0,0,1,1,0,1,6,0,1,0,0,0
q_0033,Airline,0,64.94687125086784,119.81674209237099,0.5420517209589791,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
q_0038,Airline,0,6323.980575054884,10050.577121973038,0.6292156657580493,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
q_0046,Airline,1,367.81513169407845,0.8499458432197571,432.75125659856695,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,0,0,0,0,0,1,1,0,0,6,0,1,0,0,0
q_0037,Airline,0,117.1414501965046,185.63191071152687,0.6310415582509579,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
q_0009,Airline,0,5613.792537897825,9494.78792026639,0.591249913641075,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
q_0028,Airline,0,452.33348980546,3912.8928020596504,0.11560078762376591,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,1,1,0,0,0,0,1,1,0,0,5,0,1,0,0,0
q_0016,Airline,0,447.5090727210045,53384.24806967378,0.00838279246973646,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,1,0,0,0,0,1,1,0,1,6,0,1,0,0,0
q_0062,Airline,0,466.05321019887924,23376.1002920568,0.01993716678043361,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,1,0,0,0,0,1,1,0,0,5,0,1,0,0,0
q_0005,Airline,1,40.44228419661522,0.3700762987136841,109.28093568052054,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,0,0,0,0,0,1,1,0,0,4,0,1,0,0,0
q_0035,Airline,0,896.5658225119114,1868.4954285621643,0.479833029723724,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
q_0024,Airline,0,1896.2485365569592,4650.149655342102,0.4077822601641529,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,0,0,0,0,0,1,1,0,1,11,0,1,0,0,0
q_0039,Airline,0,115.01337587833405,189.4195318222046,0.6071885764467488,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
q_0025,Airline,0,449.6715471148491,22911.171410232782,0.019626737501252902,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,1,0,0,0,0,1,1,0,1,6,0,1,0,0,0
q_0045,Airline,0,85.69805473089218,133.01923498511314,0.6442531017448949,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
q_0060,Airline,0,363.7083485722542,6679.829398542643,0.054448748144916015,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,0,0,0,0,0,1,1,0,1,9,0,1,0,0,0
q_0003,Airline,0,423.7150236964226,2867.3240467906,0.14777367914543438,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,1,0,0,0,0,0,1,1,0,1,10,0,1,0,0,0
q_0058,Airline,0,61.314790695905685,3331.6174373030663,0.018403910968103173,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,0,0,0,0,0,1,1,0,0,4,0,1,0,0,0
q_0023,Airline,0,368.11503916978836,4728.12879383564,0.07785638996334515,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,0,0,0,0,0,1,1,0,1,8,0,1,0,0,0
q_0056,Airline,0,4208.81487056613,5506.999348104,0.7642664552003586,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
q_0017,Airline,1,404.47415485978127,0.7022298872470856,575.9853891229548,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,0,0,0,0,0,1,1,0,0,8,0,1,0,0,0
q_0055,Airline,0,364.701234549284,4371.57523855567,0.08342558795117022,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,0,0,0,0,0,1,1,0,1,12,0,1,0,0,0
q_0011,Airline,0,407.15378671884537,1474.5406471192837,0.2761224571966028,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,1,0,0,0,0,0,1,1,0,1,8,0,1,0,0,0
q_0021,Airline,0,423.75061586499214,1486.6572491824627,0.2850358521427986,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,1,0,0,0,0,0,1,1,0,1,7,0,1,0,0,0
q_0001,Airline,0,13.236682116985321,51.88539773225784,0.25511382191363446,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
q_0041,Airline,0,14978.970903158188,17646.574518084526,0.848831646493628,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
q_0042,Airline,0,422.25744277238846,3558.584036678076,0.11865883689136203,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,0,0,0,0,0,1,1,0,1,11,0,1,0,0,0
q_0018,Airline,0,450.56011751294136,2655.9705920517445,0.16964047676630428,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,0,0,0,0,0,1,1,0,1,4,0,1,0,0,0
q_0054,Airline,0,665.766903012991,1846.4178629219532,0.3605721740361718,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,1,0,0,0,0,1,1,0,1,5,0,1,0,0,0
q_0052,Airline,0,383.44796746969223,2650.517448037863,0.14466909763357824,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,0,0,0,0,0,1,1,0,1,7,0,1,0,0,0
q_0063,Airline,0,15.006960183382034,86.62173748016357,0.17324704652592124,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,0,0,0,0,0,1,1,0,1,4,0,1,0,0,0
q_0048,Airline,1,411.82602420449257,356.46024867892265,1.155321037144425,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,0,0,0,0,0,1,1,0,0,5,0,1,0,0,0
q_0061,Airline,0,5.004681646823883,28402.047754079103,0.00017620847940814796,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
q_0034,Airline,0,718.7796100974083,1921.6946594417095,0.3740342444965883,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,1,0,0,0,0,1,1,0,0,6,0,1,0,0,0
q_0022,Airline,0,818.9928457140923,3410.1510114967823,0.24016321944482458,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,0,0,0,0,0,1,1,0,0,10,0,1,0,0,0
q_0012,Airline,0,490.45548141002655,3146.6791346669197,0.1558644718511924,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
q_0047,Airline,0,114.46492373943329,165.72856456041336,0.6906770962691056,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
q_0044,Airline,1,29.26885038614273,0.4812367260456085,60.82006796665144,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,1,0,0,0,0,1,1,0,0,3,0,1,0,0,0
q_0030,Airline,0,32.051798701286316,42353.22188735008,0.0007567735646307333,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,0,0,0,0,0,1,1,0,1,8,0,1,0,0,0
